recStatus,primaryKey,mTrnFmly,mTrnGrp,mTrnType,mTrnTypo,internal,portfolio,counterparty,strategy,mInstrument,mPlInscur,mMktIndex,mCommentBs,mBtrader,mBcomment0,mBcomment1,mBcomment2,mBsection,mBentity,mStrader,mScomment0,mScomment1,mScomment2,mSsection,mSentity,mTrnDate,mTrnExp,mBrwNom1,mBrwNomu1,mBrwNom2,mBrwNomu2,mBrwRte1,mBrwRte2,mBrwMrg1,mBrwMrg2,mAlmStrate,mAnSegment,mBlockpymnt,mBmaFact,mCustdyAcc,mCustdyPos,mDerecog,mDfUsiPre,mDfUsiVal,mDfVenue,mDmtradedat,mEmUtiPre,mEmUtiVal,mExptMat,mForbear,mFundedNb,mGainshare,mHedgetype,mIfrsMacro,mIfrsOffse,mIfrs9Class,mIfrs9Hedge,mIfrs9Model,mIntxferPr,mModcshflow,mOptionTyp,mRestrucDt,mRestrucFg,mSgExclude,mSpbaMidas,mSppi,mTdr,mRplAmo,mRplUsrdat,mRplDate1,mRplDate2,mRplAmttyp,mRplCur,mAccPror
"MATCHED","610039","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","PFMFLAGIP","","","USD","GCPD 0 062918  BOND | 2388           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20171006","20180629","1.6","CTR","0 | 100000000","USD","98.88650028","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MISSING","610490","IRD","REPO","REPO","REPO ABS","N","PLEN","DEUTSCHELD","","NREP_FIX_SIN_+2","USD","SLMA FRN 0440","S","","","","","","DCLNY","GAFFM","","","","AFS","DCLNY","20171017","20180809","9.986","USD","7557173.924","USD","94.231","0","0.8","0","REPO","SecECB","","0","000300602","COLLATERAL","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MISSING","610491","IRD","REPO","REPO","REPO ABS","N","PLEN","DEUTSCHELD","","NREP_FIX_SIN_+2","USD","SLCLT 2005-1 A4","S","","","","","","DCLNY","GAFFM","","","","AFS","DCLNY","20171017","20180809","30","USD","22651870","USD","94.102","0","0.8","0","REPO","SecECB","","0","000300602","COLLATERAL","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MISSING","610493","IRD","REPO","REPO","REPO ABS","N","PLEN","DEUTSCHELD","","NREP_FIX_SIN_+2","USD","SLMA 2006-8 A6","S","","","","","","DCLNY","GAFFM","","","","AFS","DCLNY","20171017","20180809","10","USD","7574048.8","USD","94.307","0","0.8","0","REPO","SecECB","","0","000300602","COLLATERAL","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","610551","IRD","IRS","","IRS TRD","N","DDCO | TSDT","CITI-LCH | LCH","","USDLIB3MFF3M | USD FEDFUNDS AVG LIBOR 3M","USD","USD3MLIBOR__USDOIS 3M | 2831__USD LIBOR 3M","B","GOMEN | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20171020","20321025","30000000","USD","30000000","USD","0","0","0.3195","0","","","","0","000076742","HELD","","1010000051","SW10000000LCH0004126359633636801","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","610560","IRD","IRS","","IRS TRD","N","DIRS | TSDT","FSAASSET","","USDLIBOR1M3M | USD LIBOR S 1M","USD","USD1MLIBOR | USD LIBOR 1M","B","GOMEN | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20171025","20300815","113225583","USD","113225583","USD","5.0175","0","0","0","","","","0","000076742","HELD","","549300SG2DF75SCPJ078","PAS75355","","0","OIPBYND1F4","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","610571","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","MULTIBANK","","","USD","GCPD 0 041918 2BOND | 2390           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20171024","20180419","2.1","CTR","0 | 100000000","USD","99.30577772","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","610575","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","MEEDOMNI","","","USD","GCPD 0 071718  BOND | 2391           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20171025","20180717","0.31","CTR","0 | 100000000","USD","98.85166674","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","610579","IRD","IRS","","IRS TRD","N","DDCO | TSDT","CITI-LCH | LCH","","USDLIBOR1M3M | USD LIBOR S 1M","USD","USD1MLIBOR | USD LIBOR 1M","B","GOMEN | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20171025","20301028","128000000","USD","128000000","USD","2.464","0","0","0","","","","0","000076742","HELD","","1010000051","SW10000000LCH0004133415033709805","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MISSING","610597","IRD","SFUT","","","N","DIRS","CITIFUTURE","","","USD","CME 3M         SFUT","B","OSTRG","","","","TRD","DCLNY","","","","","","DCLNY","20171026","20181217","500","USD","0","","98.0525","0","0","0","","","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MISMATCH","610610","IRD","LN_BR","","","Y","NPAD | PRLN","NBTA","DCL878","USD INT FUND | USD LIBOR 1Y","USD","USD1YFUNDING | USD LIBOR 1Y","B","SYSTEM | MUREXFO","","","FUNDING","AFS","DCLNY | DEXIA_NY","SYSTEM | ","","","FUNDING","AFS","DCLNY | DEXIA_NY","20171027","20180430","2489956.92","USD","2489956.92","USD","0","0","0.07 | 0","0","LTFL","","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","8100041","","","N","N","","","USR","","0"
"MISMATCH","610611","IRD","LN_BR","","","Y","NPAD | PRLN","NBTA","DCL878","USD INT FUND | USD LIBOR 1Y","USD","USD1YFUNDING | USD LIBOR 1Y","B","SYSTEM | MUREXFO","","","FUNDING","AFS","DCLNY | DEXIA_NY","SYSTEM | ","","","FUNDING","AFS","DCLNY | DEXIA_NY","20171027","20180430","1358146","USD","1358146","USD","0","0","0.07 | 0","0","LTFL","","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","8100042","","","N","N","","","USR","","0"
"MATCHED","609899","IRD","IRS","","IRS TRD","N","DDCO | TSDT","CITI-LCH | LCH","","USDLIBOR3M6M | USD LIBOR S 3M","USD","USD3MLIBOR | USD LIBOR 3M","B","OSTRG | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20170928","20271004","19800000","USD","19800000","USD","2.2891","0","0","0","","","","0","000076742","HELD","","1010000051","SW10000000LCH0004085211233140888","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609909","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","MEEDINSPRM","","","USD","GCPD 0 043018  BOND | 2379           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170929","20180430","1","CTR","0 | 100000000","USD","99.14208359","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
